seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
8096,validation,off,200,0.001,128,256,198,1.5605948841249622,0.9017103040540541,1.623673439025879,0.8385305425032038,p_ming | s2345,2024-03-08 13:17:59.813807
128000,validation,off,200,0.001,128,256,199,1.5693616238800254,0.8928420608108109,1.6243268251419067,0.8346860316104229,p_ming | s2345,2024-03-08 13:17:59.813807
42,validation,off,200,0.001,128,256,192,1.553550352921357,0.9087837837837838,1.6360327005386353,0.8257155061939342,pareto | s2345,2024-03-08 13:18:59.650706
2024,validation,off,200,0.001,128,256,195,1.5586514972351693,0.9030827702702703,1.6258885860443115,0.8346860316104229,pareto | s2345,2024-03-08 13:18:59.650706
4042,validation,off,200,0.001,128,256,192,1.583428951534065,0.8777449324324325,1.6462852954864502,0.813754805638616,pareto | s2345,2024-03-08 13:18:59.650706
8096,validation,off,200,0.001,128,256,184,1.5843192032865576,0.8767947635135135,1.6426591873168945,0.8188808201623238,pareto | s2345,2024-03-08 13:18:59.650706
128000,validation,off,200,0.001,128,256,194,1.5827253654196456,0.878589527027027,1.6408789157867432,0.8193079880392995,pareto | s2345,2024-03-08 13:18:59.650706
42,validation,off,200,0.001,128,256,182,1.5429241157866813,0.9183910472972973,1.6324596405029297,0.8282785134557882,p_recon | s2345,2024-03-08 13:19:59.558225
2024,validation,off,200,0.001,128,256,185,1.5440528231698114,0.9173353040540541,1.631089687347412,0.8282785134557882,p_recon | s2345,2024-03-08 13:19:59.558225
4042,validation,off,200,0.001,128,256,198,1.5467191032461218,0.9146959459459459,1.6261636018753052,0.8355403673643742,p_recon | s2345,2024-03-08 13:19:59.558225
8096,validation,off,200,0.001,128,256,193,1.5495257248749603,0.9115287162162162,1.6205567121505737,0.8402392140111064,p_recon | s2345,2024-03-08 13:19:59.558225
128000,validation,off,200,0.001,128,256,191,1.5433538459442757,0.9180743243243243,1.6253422498703003,0.8346860316104229,p_recon | s2345,2024-03-08 13:19:59.558225
